date,yhat,lower_95,upper_95,deterministic_part,residual_part,Nivel base,Calendario semanal,Calendario mensual,Festivos y moviles,Estacionalidad anual,Regimen y tendencia
2024-12-19,2407418.2641781117,2083923.9922997595,2688826.2544527818,2291907.812742304,115510.45143580763,13.668261249210278,0.41991922985257363,0.24005197057224106,0.0,-0.027175811077424644,0.3438389324512081
2024-12-20,2433824.401877576,2075410.070303892,2664499.6879323404,2282544.1682131435,151280.23366443254,13.668261249210278,0.4296024578858589,0.23918983651845654,0.0,-0.040226797405073775,0.34397493396736334
2024-12-21,1561823.879679536,1333998.6055780838,1881500.8951134777,1476722.6301485477,85101.24953098828,13.668261249210278,0.007377529269410085,0.23832770246467203,0.0,-0.05274073254858293,0.3441106799347713
2024-12-22,1077528.1327328212,916574.3409741529,1396576.044065231,1132875.71842644,-55347.58569361875,13.668261249210278,-0.2450587154509786,0.2374655684108875,0.0,-0.06464354829562394,0.34424617035343286
2024-12-23,2058252.9258765941,1833061.0196691386,2390876.97429107,2037440.6977769712,20812.228099622997,13.668261249210278,0.3565937559905039,0.2338348510479524,0.0,-0.07586575237232199,0.3443814052233469
2024-12-24,2023463.16417197,1814468.5708555684,2327715.542864454,1984277.843584437,39185.32058753306,13.668261249210278,0.4036367057837319,0.2329727169941679,-0.06227800736284634,-0.08634294605706729,0.3445163845445153
2024-12-25,1102502.1387643304,911283.2920493572,1392812.4752004514,1134021.183828889,-31519.045064558508,13.668261249210278,0.028440328011374614,0.2321105829403834,-0.23616564643434992,-0.09601629650679298,0.3446511083169357
2024-12-26,1998967.4851326752,1807853.905658407,2375063.885325101,2029981.5280136312,-31014.042880956084,13.668261249210278,0.41991922985257363,0.23124844888659885,-0.03584380043884745,-0.10483295996011846,0.3447855765406097
2024-12-27,2256595.181731532,1915120.2158969315,2492038.349137749,2106256.762828617,150338.41890291497,13.668261249210278,0.4296024578858589,0.2303863148328144,0.0,-0.11274645245251053,0.3449197892155367
2024-12-28,1495195.1016659816,1190740.6642667465,1731842.3682980319,1389753.8446239245,105441.25704205711,13.668261249210278,0.01215520661936174,0.23888468178386668,0.0,-0.11971696517765829,0.3450537463417177
2024-12-29,1032981.4682150577,875866.9037485765,1287063.6346410634,1068849.6101236346,-35868.14190857683,13.668261249210278,-0.2436651897779902,0.2380225477300822,0.0,-0.1257116221517523,0.345187447919151
2024-12-30,2045201.8423762643,1816147.5928136238,2351945.4610369653,2020688.17419908,24513.668177184183,13.668261249210278,0.3511060987872314,0.37835816244297904,-0.0933925394738268,-0.13070467837810643,0.3453208939478377
