date,y
2015-12-03,2166100.0
2015-12-04,2187435.0
2015-12-05,1360169.0
2015-12-06,1122745.0
2015-12-07,1752892.0
2015-12-08,956365.0
2015-12-09,2069567.0
2015-12-10,2106433.0
2015-12-11,2220978.0
2015-12-12,1390754.0
2015-12-13,991228.0
2015-12-14,2029301.0
2015-12-15,2085480.0
2015-12-16,2128791.0
2015-12-17,2166102.0
2015-12-18,2236353.0
2015-12-19,1412997.0
2015-12-20,998115.0
2015-12-21,1984709.0
2015-12-22,2000203.0
2015-12-23,1826591.0
2015-12-24,900461.0
2015-12-25,506284.0
2015-12-26,1120088.0
2015-12-27,937755.0
2015-12-28,1650411.0
2015-12-29,1713778.0
2015-12-30,1716698.0
2015-12-31,1051559.0
2016-01-01,553616.0
2016-01-02,1121468.0
2016-01-03,874931.0
2016-01-04,1660447.0
2016-01-05,1725975.0
2016-01-06,623749.0
2016-01-07,1633806.0
2016-01-08,1836062.0
2016-01-09,1177017.0
2016-01-10,790207.0
2016-01-11,1935056.0
2016-01-12,1950528.0
2016-01-13,1992603.0
2016-01-14,1997005.0
2016-01-15,2079854.0
2016-01-16,1212909.0
2016-01-17,855177.0
2016-01-18,1951051.0
2016-01-19,1985905.0
2016-01-20,2029201.0
2016-01-21,2053767.0
2016-01-22,2107123.0
2016-01-23,1237676.0
2016-01-24,899099.0
2016-01-25,1932961.0
2016-01-26,1991215.0
2016-01-27,2026167.0
2016-01-28,2045723.0
2016-01-29,2014663.0
2016-01-30,1221743.0
2016-01-31,887358.0
2016-02-01,1977065.0
2016-02-02,2012181.0
2016-02-03,2061611.0
2016-02-04,2066052.0
2016-02-05,2123704.0
2016-02-06,1243904.0
2016-02-07,881880.0
2016-02-08,1872314.0
2016-02-09,2016467.0
2016-02-10,2042804.0
2016-02-11,2066630.0
2016-02-12,2119526.0
2016-02-13,1267683.0
2016-02-14,885345.0
2016-02-15,2000565.0
2016-02-16,2030859.0
2016-02-17,2064409.0
2016-02-18,2074237.0
2016-02-19,2130778.0
2016-02-20,1232872.0
2016-02-21,888522.0
2016-02-22,1976746.0
2016-02-23,2029930.0
2016-02-24,2089465.0
2016-02-25,2087722.0
